Name,MapDate,DSCI
Colorado,20230307,102
Colorado,20230314,102
Colorado,20230321,101
Colorado,20230328,96
Colorado,20230404,101
Colorado,20230411,111
Colorado,20230418,119
Colorado,20230425,119
Colorado,20230502,95
Colorado,20230509,98
Colorado,20230516,60
Colorado,20230523,39
Colorado,20230530,31
Colorado,20230606,18
Colorado,20230613,7
Colorado,20230620,3
Colorado,20230627,2
Colorado,20230704,0
Colorado,20230711,0
Colorado,20230718,20
Colorado,20230725,26
Colorado,20230801,31
Colorado,20230808,39
Colorado,20230815,43
Colorado,20230822,48
Colorado,20230829,44
Colorado,20230905,50
Colorado,20230912,50
Colorado,20230919,48
Colorado,20230926,54
Colorado,20231003,61
Colorado,20231010,67
Colorado,20231017,64
Colorado,20231024,69
Colorado,20231031,67
Colorado,20231107,79
Colorado,20231114,87
Colorado,20231121,92
Colorado,20231128,105
Colorado,20231205,105
Colorado,20231212,101
Colorado,20231219,102
Colorado,20231226,100
Colorado,20240102,106
Colorado,20240109,108
Colorado,20240116,98
Colorado,20240123,97
Colorado,20240130,95
Colorado,20240206,68
Colorado,20240213,52
Colorado,20240220,51
Colorado,20240227,51
Colorado,20240305,46
Colorado,20240312,46
Colorado,20240319,42
Colorado,20240326,42
Colorado,20240402,37
Colorado,20240409,37
Colorado,20240416,45
Colorado,20240423,52
Colorado,20240430,49
Colorado,20240507,56
Colorado,20240514,50
Colorado,20240521,50
Colorado,20240528,56
Colorado,20240604,52
Colorado,20240611,52
Colorado,20240618,60
Colorado,20240625,58
Colorado,20240702,37
Colorado,20240709,35
Colorado,20240716,51
Colorado,20240723,45
Colorado,20240730,52
Colorado,20240806,81
Colorado,20240813,74
Colorado,20240820,62
Colorado,20240827,59
